site,stars,lat,long,zip,ratings
Rosario's Pizza,3.5,40.72159,-73.98857,10002,38
Soles Pizzeria,3.5,40.8068251,-74.0092326,7047,38
Viktoria Italian Restaurant,4.5,40.82191008,-73.91155423,10451,38
Domino's Pizza,1,40.8350906,-73.908226,10456,39
Ganni's Pizza,3.5,40.69428,-73.95783,11205,39
John's of Times Square,3.5,40.7581215,-73.9885788,10036,39
John's of Times Square - Jersey City,3,40.71444247,-74.03738596,7302,39
Sofia Pizza Shoppe,4.5,40.75674,-73.96431,10022,39
The Brick Fire Baked Pizza,3,40.7507705,-74.0269035,7030,39
Domino's Pizza,2.5,40.7723,-74.0304,7087,40
Dreamer's Pizza,3.5,40.78924,-73.9466,10029,40
Georgio's Pizzeria,3.5,40.7136574,-74.0895233,7305,40
Joe & Sal's Pizza,5,40.66944664,-73.95958667,11225,40
Joe's Pizza,2,40.7812979,-74.0222771,7087,40
Ma Ma Mia Frank's Famous,1,40.7240791,-74.0493469,7302,40
Pie Pie Pizza,2.5,40.8381761,-73.9379453,10032,40
Sal & Carmine's Pizza,3.5,40.7983115,-73.9694405,10025,40
The Big Red Tomato,3.5,40.8395,-73.98192,7024,40
Vecino Pizza Restaurant,3,40.71191,-73.96266,11211,40
Barleycorn Craft Bar & Grill,3.5,40.71358514,-74.00846121,10007,41
Domino's,1.5,40.73717,-74.03097,7030,41
Domino's Pizza,1.5,40.69306,-73.97336,11205,41
Two Boots Jersey City,3.5,40.720148,-74.043627,7302,41
Aperture,4,40.675033,-73.999706,11231,42
Domino's Pizza,1.5,40.71194,-73.99669,10038,42
Domino's Pizza,2.5,40.7443008,-73.9793549,10016,42
Green Cafe,3,40.76482,-73.97794,10019,42
L'isola,4,40.71609,-73.96286,11249,42
La Bella Mariella II,3.5,40.71385,-73.95563,11211,42
Pizza Pete's,3.5,40.7862219,-73.9726035,10024,42
Pizza Plus,2.5,40.7013064,-74.0132133,10004,42
The Best Roma Pizza,5,40.81641661,-73.91978802,10451,42
The Hudson Grill Pizza & Deli,4,40.7521286,-74.0377579,7087,42
Bodrum Mediterranean Restaurant,4,40.78921616,-73.97396006,10024,43
Douma Pizza & Subs,3.5,40.7224083,-73.9924469,10002,43
La Bella Pizza,3.5,40.74348,-73.97707,10016,43
La Bella Pizzeria,3.5,40.7423706,-73.9176025,11104,43
Libretto's Pizza,3.5,40.74728,-73.97722,10016,43
Prova Pizzabar,2.5,40.6551449,-74.0145982,10017,43
Sam's Pizza,3,40.76899,-74.03964,7087,43
Solo Pizza,3.5,40.739963,-73.984663,10010,43
Song E Napule,4.5,40.7280296,-74.0018334,10012,43
Steve's Pizza,3.5,40.70948,-74.012,10006,43
The Big Slice,2.5,40.73945,-73.99151,10011,43
Zia Maria,4,40.7454863,-73.9993392,10011,43
Zurilee Restaurant,4.5,40.65451474,-73.95953178,11226,43
Dino's Pizza & Pasta,3.5,40.76244816,-73.92597889,11106,44
Green Symphony,4,40.738083,-73.9968139,10011,44
Mariella Pizza,4,40.76558319,-73.98367787,10019,44
Napoli Pizza & Pasta,4,40.75718,-73.92686,11106,44
Nasa Pizza,3,40.8131656,-73.9418043,10037,44
Nicoletta,3.5,40.7297792,-73.98669183,10003,44
Pizza Hut,1.5,40.76129,-73.9829,10019,44
Stanton Pizza,4,40.72082,-73.98666,10002,44
Bean Y Vino,4,40.7909561,-73.9469905,10029,45
Brooklyn's Coal-Burning Brick-Oven Pizzeria,4,40.81318269,-73.98428882,7020,45
Don Pepi Pizza,3.5,40.7506946,-73.9923316,10121,45
Famous Original Ray's Pizza,3,40.7834282,-73.9479218,10128,45
La Vela Dining & Bar,4,40.7608925,-73.9980608,10036,45
Make And Bake,4.5,40.7932884,-73.94371351,10029,45
Mama's Pizzeria,3.5,40.80052,-73.96542,10025,45
Monte's,4,40.6775499,-73.98724,11215,45
Motorino,4,40.7104799,-73.96351,11211,45
Papa John's Pizza,3,40.83337,-74.09658,7073,45
Salt Pepper Ketchup Pizza and Grill,1,40.7608299,-73.9089813,11103,45
Tony's Pizza,4.5,40.6648483,-73.9232864,11212,45
Bellini Italian Restaurant,3.5,40.78457,-73.97317,10024,46
Famous Pizza,2.5,40.7389488,-74.0300674,7030,46
Filaga Pizzeria,3.5,40.74222,-74.00466,10011,46
Mama Mia 44 SW,4,40.75976,-73.99207,10036,46
Paparazzi Italiano,3,40.7218208,-74.0656281,7304,46
Pizza Hut Express,3,40.73529,-73.99285,10003,46
3J's Pizza,2,40.7751884,-74.0271301,7087,47
Claudio Pizzeria,3,40.7604,-73.99469,10036,47
Food Exchange,2.5,40.7529488,-73.9867706,10018,47
Freddie & Pepper's,4,40.779999,-73.980301,10023,47
